carrier,flight_number,total_fare,currency,travel_date,collector
QP,QP1836,6880.00,INR,2026-09-21,playwright_network
QP,QP1826,6880.00,INR,2026-09-21,playwright_network
QP,QP1820,7583.00,INR,2026-09-21,playwright_network
QP,QP1110,10235.00,INR,2026-09-21,playwright_network
QP,QP1833,17657.00,INR,2026-09-21,playwright_network
QP,QP1119,23111.00,INR,2026-09-21,playwright_network
QP,QP1112,23111.00,INR,2026-09-21,playwright_network
QP,UNSPECIFIED,6530.00,INR,2026-09-27,playwright_network
QP,UNSPECIFIED,6530.00,INR,2026-09-27,playwright_network
QP,UNSPECIFIED,6530.00,INR,2026-10-05,playwright_network
QP,UNSPECIFIED,6530.00,INR,2026-10-05,playwright_network
QP,UNSPECIFIED,6530.00,INR,2026-10-20,playwright_network
QP,UNSPECIFIED,6530.00,INR,2026-10-20,playwright_network
QP,UNSPECIFIED,7103.00,INR,2026-11-04,playwright_network
QP,UNSPECIFIED,7103.00,INR,2026-11-04,playwright_network
QP,UNSPECIFIED,8825.00,INR,2026-09-21,playwright_network
QP,UNSPECIFIED,8825.00,INR,2026-09-21,playwright_network
QP,QP1516,6249.00,INR,2026-09-27,playwright_network
QP,QP1527,6994.00,INR,2026-09-27,playwright_network
QP,QP1518,8157.00,INR,2026-09-27,playwright_network
QP,QP1382,9546.00,INR,2026-09-27,playwright_network
QP,QP1133,10341.00,INR,2026-09-27,playwright_network
QP,UNSPECIFIED,7199.00,INR,2026-10-05,playwright_network
QP,UNSPECIFIED,7199.00,INR,2026-10-05,playwright_network
QP,UNSPECIFIED,5050.00,INR,2026-10-20,playwright_network
QP,UNSPECIFIED,5050.00,INR,2026-10-20,playwright_network
QP,UNSPECIFIED,7199.00,INR,2026-11-04,playwright_network
QP,UNSPECIFIED,7199.00,INR,2026-11-04,playwright_network
QP,UNSPECIFIED,8829.00,INR,2026-09-21,playwright_network
QP,UNSPECIFIED,8829.00,INR,2026-09-21,playwright_network
QP,QP1812,9179.00,INR,2026-09-27,playwright_network
QP,QP1350,9342.00,INR,2026-09-27,playwright_network
QP,QP1308,9508.00,INR,2026-09-27,playwright_network
QP,QP1824,11368.00,INR,2026-09-27,playwright_network
QP,QP1822,12446.00,INR,2026-09-27,playwright_network
QP,UNSPECIFIED,8829.00,INR,2026-10-05,playwright_network
QP,UNSPECIFIED,8829.00,INR,2026-10-05,playwright_network
QP,UNSPECIFIED,9680.00,INR,2026-10-20,playwright_network
QP,UNSPECIFIED,9680.00,INR,2026-10-20,playwright_network
QP,UNSPECIFIED,9859.00,INR,2026-11-04,playwright_network
QP,UNSPECIFIED,9859.00,INR,2026-11-04,playwright_network
IX,IX1392,6011.00,INR,2026-09-21,playwright_network
SG,SG2802,5999.00,INR,2026-09-21,playwright_network
SG,SG162,6292.00,INR,2026-09-21,playwright_network
IX,IX1235,6688.00,INR,2026-09-21,playwright_network
6E,6E322,6530.00,INR,2026-09-21,playwright_network
6E,6E853,6530.00,INR,2026-09-21,playwright_network
6E,6E329,6530.00,INR,2026-09-21,playwright_network
6E,6E6706,6530.00,INR,2026-09-21,playwright_network
6E,6E864,6530.00,INR,2026-09-21,playwright_network
6E,6E6318,6530.00,INR,2026-09-21,playwright_network
6E,6E395,6530.00,INR,2026-09-21,playwright_network
6E,6E6114,6530.00,INR,2026-09-21,playwright_network
6E,6E327,6530.00,INR,2026-09-21,playwright_network
QP,QP1836,6530.00,INR,2026-09-21,playwright_network
QP,QP1826,6530.00,INR,2026-09-21,playwright_network
6E,6E6022,6530.00,INR,2026-09-21,playwright_network
6E,6E303,6583.00,INR,2026-09-21,playwright_network
6E,6E324,6583.00,INR,2026-09-21,playwright_network
6E,6E2013,6618.00,INR,2026-09-21,playwright_network
6E,6E6983,6618.00,INR,2026-09-21,playwright_network
6E,6E5073,6618.00,INR,2026-09-21,playwright_network
AI,AI1780,6843.00,INR,2026-09-21,playwright_network
6E,6E2169,6750.00,INR,2026-09-21,playwright_network
6E,6E6829,6750.00,INR,2026-09-21,playwright_network
6E,6E6676,6751.00,INR,2026-09-21,playwright_network
6E,6E354,6751.00,INR,2026-09-21,playwright_network
6E,6E5298,6828.00,INR,2026-09-21,playwright_network
6E,6E5206,6828.00,INR,2026-09-21,playwright_network
6E,6E6050,6828.00,INR,2026-09-21,playwright_network
6E,6E6601,6960.00,INR,2026-09-21,playwright_network
6E,6E6282,6960.00,INR,2026-09-21,playwright_network
6E,6E882,6960.00,INR,2026-09-21,playwright_network
6E,6E6497,6960.00,INR,2026-09-21,playwright_network
QP,QP1820,7233.00,INR,2026-09-21,playwright_network
IX,IX1165,8349.00,INR,2026-09-21,playwright_network
IX,IX1049,8349.00,INR,2026-09-21,playwright_network
6E,6E931,8351.00,INR,2026-09-21,playwright_network
6E,6E6569,9178.00,INR,2026-09-21,playwright_network
6E,6E5038,9257.00,INR,2026-09-21,playwright_network
6E,6E6212,9388.00,INR,2026-09-21,playwright_network
IX,IX1003,9971.00,INR,2026-09-21,playwright_network
QP,QP1110,9885.00,INR,2026-09-21,playwright_network
6E,6E2381,10153.00,INR,2026-09-21,playwright_network
6E,6E6479,10494.00,INR,2026-09-21,playwright_network
AI,AI9759,11175.00,INR,2026-09-21,playwright_network
AI,AI9447,11175.00,INR,2026-09-21,playwright_network
6E,6E2383,11525.00,INR,2026-09-21,playwright_network
6E,6E5014,11577.00,INR,2026-09-21,playwright_network
6E,6E2341,11577.00,INR,2026-09-21,playwright_network
IX,IX1068,12222.00,INR,2026-09-21,playwright_network
6E,6E6433,12724.00,INR,2026-09-21,playwright_network
6E,6E2249,12747.00,INR,2026-09-21,playwright_network
IX,IX1082,13362.00,INR,2026-09-21,playwright_network
IX,IX1817,13362.00,INR,2026-09-21,playwright_network
6E,6E2331,13333.00,INR,2026-09-21,playwright_network
IX,IX1049,13886.00,INR,2026-09-21,playwright_network
6E,6E357,14395.00,INR,2026-09-21,playwright_network
IX,IX1108,14864.00,INR,2026-09-21,playwright_network
IX,IX1108,15601.00,INR,2026-09-21,playwright_network
6E,6E6443,15224.00,INR,2026-09-21,playwright_network
IX,IX1815,16690.00,INR,2026-09-21,playwright_network
IX,IX1081,16090.00,INR,2026-09-21,playwright_network
IX,IX1273,16091.00,INR,2026-09-21,playwright_network
AI,AI2627,15960.00,INR,2026-09-21,playwright_network
IX,IX1754,17349.00,INR,2026-09-21,playwright_network
IX,IX1067,17506.00,INR,2026-09-21,playwright_network
IX,IX1001,17509.00,INR,2026-09-21,playwright_network
QP,QP1833,17307.00,INR,2026-09-21,playwright_network
6E,6E5073,18147.00,INR,2026-09-21,playwright_network
6E,6E6218,18500.00,INR,2026-09-21,playwright_network
6E,6E6814,18500.00,INR,2026-09-21,playwright_network
6E,6E6107,18500.00,INR,2026-09-21,playwright_network
6E,6E5138,19503.00,INR,2026-09-21,playwright_network
IX,IX1059,20177.00,INR,2026-09-21,playwright_network
AI,AI1779,20423.00,INR,2026-09-21,playwright_network
IX,IX1812,21041.00,INR,2026-09-21,playwright_network
IX,IX1812,21879.00,INR,2026-09-21,playwright_network
IX,IX1811,21879.00,INR,2026-09-21,playwright_network
6E,6E6293,21850.00,INR,2026-09-21,playwright_network
IX,IX1783,22487.00,INR,2026-09-21,playwright_network
6E,6E5119,22297.00,INR,2026-09-21,playwright_network
6E,6E358,22658.00,INR,2026-09-21,playwright_network
QP,QP1119,22761.00,INR,2026-09-21,playwright_network
QP,QP1112,22761.00,INR,2026-09-21,playwright_network
6E,6E5119,22977.00,INR,2026-09-21,playwright_network
6E,6E2076,23082.00,INR,2026-09-21,playwright_network
6E,6E6459,24944.00,INR,2026-09-21,playwright_network
6E,6E704,27355.00,INR,2026-09-21,playwright_network
IX,IX1165,6245.00,INR,2026-09-27,playwright_network
IX,IX1056,6529.00,INR,2026-09-27,playwright_network
IX,IX1235,6688.00,INR,2026-09-27,playwright_network
IX,IX1392,6611.00,INR,2026-09-27,playwright_network
QP,QP1110,6530.00,INR,2026-09-27,playwright_network
6E,6E6218,6530.00,INR,2026-09-27,playwright_network
6E,6E322,6530.00,INR,2026-09-27,playwright_network
6E,6E675,6530.00,INR,2026-09-27,playwright_network
6E,6E6047,6530.00,INR,2026-09-27,playwright_network
QP,QP1833,6530.00,INR,2026-09-27,playwright_network
QP,QP1112,6530.00,INR,2026-09-27,playwright_network
6E,6E6114,6530.00,INR,2026-09-27,playwright_network
6E,6E320,6530.00,INR,2026-09-27,playwright_network
6E,6E6328,6530.00,INR,2026-09-27,playwright_network
AI,AI1745,6730.00,INR,2026-09-27,playwright_network
QP,QP1119,6530.00,INR,2026-09-27,playwright_network
QP,QP1836,6530.00,INR,2026-09-27,playwright_network
6E,6E6107,6530.00,INR,2026-09-27,playwright_network
6E,6E6022,6530.00,INR,2026-09-27,playwright_network
AI,AI2439,6730.00,INR,2026-09-27,playwright_network
AI,AI2678,6843.00,INR,2026-09-27,playwright_network
AI,AI2963,6843.00,INR,2026-09-27,playwright_network
AI,AI2975,6843.00,INR,2026-09-27,playwright_network
AI,AI2429,6843.00,INR,2026-09-27,playwright_network
AI,AI2943,6843.00,INR,2026-09-27,playwright_network
AI,AI2945,6843.00,INR,2026-09-27,playwright_network
AI,AI2927,6843.00,INR,2026-09-27,playwright_network
6E,6E324,6688.00,INR,2026-09-27,playwright_network
6E,6E6676,6688.00,INR,2026-09-27,playwright_network
AI,AI1785,7001.00,INR,2026-09-27,playwright_network
6E,6E864,6898.00,INR,2026-09-27,playwright_network
6E,6E6318,6898.00,INR,2026-09-27,playwright_network
QP,QP1826,7103.00,INR,2026-09-27,playwright_network
6E,6E5014,7120.00,INR,2026-09-27,playwright_network
6E,6E5119,7120.00,INR,2026-09-27,playwright_network
6E,6E6171,7120.00,INR,2026-09-27,playwright_network
6E,6E2076,7120.00,INR,2026-09-27,playwright_network
6E,6E931,7120.00,INR,2026-09-27,playwright_network
6E,6E2013,7120.00,INR,2026-09-27,playwright_network
6E,6E6983,7120.00,INR,2026-09-27,playwright_network
6E,6E6261,7120.00,INR,2026-09-27,playwright_network
6E,6E5073,7120.00,INR,2026-09-27,playwright_network
6E,6E853,7160.00,INR,2026-09-27,playwright_network
6E,6E329,7160.00,INR,2026-09-27,playwright_network
6E,6E327,7160.00,INR,2026-09-27,playwright_network
6E,6E354,7160.00,INR,2026-09-27,playwright_network
AI,AI1777,7450.00,INR,2026-09-27,playwright_network
6E,6E2249,7252.00,INR,2026-09-27,playwright_network
6E,6E6443,7252.00,INR,2026-09-27,playwright_network
6E,6E5138,7252.00,INR,2026-09-27,playwright_network
6E,6E6459,7252.00,INR,2026-09-27,playwright_network
6E,6E6569,7252.00,INR,2026-09-27,playwright_network
AI,AI2941,7473.00,INR,2026-09-27,playwright_network
AI,AI2433,7473.00,INR,2026-09-27,playwright_network
AI,AI2957,7473.00,INR,2026-09-27,playwright_network
6E,6E6479,7330.00,INR,2026-09-27,playwright_network
QP,QP1820,7366.00,INR,2026-09-27,playwright_network
AI,AI2981,7660.00,INR,2026-09-27,playwright_network
6E,6E6282,7462.00,INR,2026-09-27,playwright_network
6E,6E882,7462.00,INR,2026-09-27,playwright_network
6E,6E705,7462.00,INR,2026-09-27,playwright_network
6E,6E6293,7462.00,INR,2026-09-27,playwright_network
6E,6E303,7475.00,INR,2026-09-27,playwright_network
6E,6E6706,7475.00,INR,2026-09-27,playwright_network
6E,6E395,7475.00,INR,2026-09-27,playwright_network
QP,QP1128,7501.00,INR,2026-09-27,playwright_network
AI,AI441,7788.00,INR,2026-09-27,playwright_network
AI,AI2805,7788.00,INR,2026-09-27,playwright_network
AI,AI2955,7910.00,INR,2026-09-27,playwright_network
AI,AI2933,7985.00,INR,2026-09-27,playwright_network
AI,AI1780,8103.00,INR,2026-09-27,playwright_network
6E,6E758,7905.00,INR,2026-09-27,playwright_network
IX,IX1082,8349.00,INR,2026-09-27,playwright_network
IX,IX1817,8349.00,INR,2026-09-27,playwright_network
AI,AI2951,8471.00,INR,2026-09-27,playwright_network
6E,6E5206,8535.00,INR,2026-09-27,playwright_network
IX,IX1049,9071.00,INR,2026-09-27,playwright_network
AI,AI2499,9526.00,INR,2026-09-27,playwright_network
AI,AI1710,9526.00,INR,2026-09-27,playwright_network
6E,6E6601,9360.00,INR,2026-09-27,playwright_network
AI,AI2509,10031.00,INR,2026-09-27,playwright_network
AI,AI2569,10366.00,INR,2026-09-27,playwright_network
AI,AI2985,10388.00,INR,2026-09-27,playwright_network
AI,AI1717,10576.00,INR,2026-09-27,playwright_network
AI,AI1705,10690.00,INR,2026-09-27,playwright_network
AI,AI1719,10813.00,INR,2026-09-27,playwright_network
6E,6E2381,10959.00,INR,2026-09-27,playwright_network
AI,AI2761,11430.00,INR,2026-09-27,playwright_network
6E,6E2349,11427.00,INR,2026-09-27,playwright_network
IX,IX1812,12222.00,INR,2026-09-27,playwright_network
AI,AI9447,12277.00,INR,2026-09-27,playwright_network
IX,IX5975,13216.00,INR,2026-09-27,playwright_network
6E,6E6497,12893.00,INR,2026-09-27,playwright_network
6E,6E6829,13104.00,INR,2026-09-27,playwright_network
IX,IX1049,13571.00,INR,2026-09-27,playwright_network
IX,IX1754,13571.00,INR,2026-09-27,playwright_network
IX,IX1003,13571.00,INR,2026-09-27,playwright_network
6E,6E184,13399.00,INR,2026-09-27,playwright_network
SG,SG2802,13745.00,INR,2026-09-27,playwright_network
6E,6E6433,13859.00,INR,2026-09-27,playwright_network
AI,AI881,14405.00,INR,2026-09-27,playwright_network
AI,AI2909,14405.00,INR,2026-09-27,playwright_network
6E,6E5038,14391.00,INR,2026-09-27,playwright_network
AI,AI531,14652.00,INR,2026-09-27,playwright_network
6E,6E5073,14682.00,INR,2026-09-27,playwright_network
IX,IX1059,15191.00,INR,2026-09-27,playwright_network
6E,6E2331,14992.00,INR,2026-09-27,playwright_network
AI,AI885,15365.00,INR,2026-09-27,playwright_network
IX,IX1070,15602.00,INR,2026-09-27,playwright_network
AI,AI1710,15383.00,INR,2026-09-27,playwright_network
IX,IX1815,16690.00,INR,2026-09-27,playwright_network
SG,SG162,15724.00,INR,2026-09-27,playwright_network
AI,AI2909,15855.00,INR,2026-09-27,playwright_network
AI,AI2545,16117.00,INR,2026-09-27,playwright_network
6E,6E357,15980.00,INR,2026-09-27,playwright_network
AI,AI1780,17042.00,INR,2026-09-27,playwright_network
AI,AI2515,17042.00,INR,2026-09-27,playwright_network
AI,AI1725,17042.00,INR,2026-09-27,playwright_network
6E,6E6212,17275.00,INR,2026-09-27,playwright_network
6E,6E5298,17922.00,INR,2026-09-27,playwright_network
IX,IX1812,21041.00,INR,2026-09-27,playwright_network
AI,AI9584,21646.00,INR,2026-09-27,playwright_network
AI,AI9757,22366.00,INR,2026-09-27,playwright_network
IX,IX1783,22907.00,INR,2026-09-27,playwright_network
IX,IX1081,22969.00,INR,2026-09-27,playwright_network
AI,AI2465,22828.00,INR,2026-09-27,playwright_network
IX,IX1067,23441.00,INR,2026-09-27,playwright_network
AI,AI1779,23404.00,INR,2026-09-27,playwright_network
IX,IX1811,24649.00,INR,2026-09-27,playwright_network
IX,IX1108,24749.00,INR,2026-09-27,playwright_network
6E,6E358,24475.00,INR,2026-09-27,playwright_network
AI,AI1739,26280.00,INR,2026-09-27,playwright_network
6E,6E2496,26885.00,INR,2026-09-27,playwright_network
IX,IX1068,28319.00,INR,2026-09-27,playwright_network
AI,AI2761,34550.00,INR,2026-09-27,playwright_network
IX,IX1001,35673.00,INR,2026-09-27,playwright_network
AI,AI2907,37320.00,INR,2026-09-27,playwright_network
IX,IX1392,6011.00,INR,2026-10-05,playwright_network
SG,SG162,6292.00,INR,2026-10-05,playwright_network
6E,6E5014,6090.00,INR,2026-10-05,playwright_network
6E,6E5119,6090.00,INR,2026-10-05,playwright_network
6E,6E2013,6090.00,INR,2026-10-05,playwright_network
6E,6E6261,6090.00,INR,2026-10-05,playwright_network
IX,IX1235,6529.00,INR,2026-10-05,playwright_network
6E,6E2169,6222.00,INR,2026-10-05,playwright_network
6E,6E2249,6222.00,INR,2026-10-05,playwright_network
6E,6E6829,6222.00,INR,2026-10-05,playwright_network
6E,6E6443,6222.00,INR,2026-10-05,playwright_network
